complete_name	location	legislation	network	year_established	core_area_ha	buffer_area_ha
Cawag Reef	null San Isidro Davao Oriental	NA	null	0	0	0
Calituban Fish Sanctuary	Calituban Talibon Bohol	Municipal Ordinance MO# 2003-121-A	null	0	0	0
Carcar Marine Protected Zone	null Carcar Cebu	NA	null	0	0	0
Bo. Magdangay to Malobago, Port Barrera	null Magsaysay Occidental Mindoro	Proclamation No. 2152, s.1981	null	0	0	0
Mangrove areas along the banks of Daraga River	null Daraga Albay	Proclamation No. 2152, s.1981	null	0	0	0
Balite Bay Fish Sanctuary	null Mati Davao Oriental	Municipal Ordinance MO# 101	null	2003	0	0
Mahanay Island Mangrove Swamp Forest Reserve	null Talibon Bohol	Proclamation No. 2152, s.1981	null	0	0	0
Mangroves along the banks of Sagnay River	null Sagnay Camarines Sur	Proclamation No. 2152, s.1981	null	0	0	0
Tabaon Wilderness Area	null Clarin Bohol	Proclamation PP# 225229	null	0	0	0
Calbasa Reef Fish Sanctuary	null null Davao Oriental	NA	null	0	0	0
Verde Island TZMR	null null Batangas	National - Proc PP# 1801	null	1978	0	0
Mangroves at the western side of Sukol River	null Bongabong Oriental Mindoro	Proclamation No. 2152, s.1981	null	0	0	0
Hikdop Island Mangrove Swamp Forest Reserve	null Surigao City Surigao Del Norte	Proclamation No. 2152, s.1981	null	0	0	0
Mangrove areas from Liangan River to Lipatan River	null null Lanao Del Norte	Proclamation No. 2152, s.1981	null	0	0	0
ECA	null Lingayen Pangasinan	Proclamation PP# 156	null	1992	0	0
Mangroves in Toos Cove in Mandaon	null Mandaon Masbate	Proclamation No. 2152, s.1981	null	0	0	0
Mangroves along the banks of Salog River	null null Southern Leyte	Proclamation No. 2152, s.1981	null	0	0	0
Himokilan Marine Sanctuary,Cuatro Islas Protected Landscape and Seascape	null null Leyte	Proclamation PP# 270	null	2000	0	0
Bintahuan Marine Sanctuary	null Baybay Leyte	Municipal Ordinance Mun. Ord. (not specified)	null	0	0	0
Kalotkot Island Mangrove Swamp Forest Reserve	null Patnanungan Quezon	Proclamation No. 2152, s.1981	null	0	0	0
Pasacao Fish Sanctuary & Marine Reserve	null Pasacao Camarines Sur	NA	null	1994	0	0
San Miguel Island Turtle Sanctuary	null null Tawi Tawi	Ordinance DENR MO 33	null	0	0	0
Pongao Bay Mangrove Swamp Forest Reserve	null null Surigao Del Sur	Proclamation No. 2152, s.1981	null	0	0	0
Caohagan Island Tourist Zone Marine Reserve	null Lapu-Lapu City Cebu	Proclamation PP# 1801	null	1978	0	0
Puting Balas Marine Reserve	null Pagadian City Zamboanga Del Sur	NA	null	0	0	0
Lawigan Fish Sanctuary	null Mati Davao Oriental	NA	null	2005	0	0
Pacijan Island Mangrove Swamp Forest Reserve	null San Francisco Cebu	Proclamation No. 2152, s.1981	null	0	0	0
Halog Island Marine Turtle Sanctuary	null null Palawan	Admin Order MNR AO# 8	null	1982	0	0
Getumbro Point up to the Mun. of Sorsogon	null Sorsogon Sorsogon	Proclamation No. 2152, s.1981	null	0	0	0
Palanan Wilderness Area	null Palanan Isabela	LOI# 917 & 917a	null	1979	0	0
Gaba MFR/S	null Rapu-Rapu Albay	NA	null	0	0	0
Tamban Fish Sanctuary	null Governor Generoso Davao Oriental	NA	null	0	0	0
Balangiga MPA	null Guiuan Eastern Samar	NA	null	0	0	0
Mangrove areas from Baculin Point to Lakud Point	null Caraga Davao Oriental	Proclamation PP# 2151	null	0	0	0
Sag Fish Sanctuary	Sag Talibon Bohol	Municipal Ordinance MR# 2004-106	null	1997	0	0
Mangroves at the western side of Casiliga River Island of Soguicay	null Bulalacao Oriental Mindoro	Proclamation No. 2152, s.1981	null	0	0	0
Basihan Island Wilderness Area	null null Bohol	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Cangcosme Fish Sanctuary	null Palompon Leyte	Municipal Ordinance Unknown	null	0	0	0
Pangan-an Island Tourist Zone and Marine Reserve	null Cordoba Cebu	Proclamation PP# 1801	null	1978	0	0
Capaquian Island Widerness Area	null Basilisa Dinagat Islands	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Sagayapan Island Mangrove Swamp Forest Reserve	null null Zamboanga Del Sur	Proclamation No. 2152, s.1981	null	0	0	0
Mangrove areas from Diutag River to Lomocab River	null null Palawan	Proclamation No. 2152, s.1981	null	0	0	0
Sablayan Point up to the mouth of Bagong Sabang River	null Sablayan Occidental Mindoro	Proclamation No. 2152, s.1981	null	0	0	0
Brgys. Cagsao, Sibobo, Bonot, Belen Calabanga Marine Reserve	null Calabanga Camarines Sur	NA	null	0	0	0
Sandingan Island Mangrove Swamp Forest Reserve	null Loon Bohol	Proclamation No. 2152, s.1981	null	0	0	0
Jomalig Island Mangrove Swamp Forest Reserve	null Jomalig Quezon	Proclamation No. 2152, s.1981	null	1991	0	0
San Vicente	null Lapu-Lapu City Cebu   / null Cordoba Cebu	Municipal Ordinance Mun Ord  287-2005	null	0	0	0
Balahibong Manok TZMR	null Mabini Batangas	Proclamation PP# 1801	null	1978	0	0
Bayagnan Island Mangrove Swamp Forest Reserve	null Tagana-An Surigao Del Norte	Proclamation No. 2152, s.1981	null	0	0	0
Mangrove areas from Bo. Tuban and Bo. Manpagui in Santa Cruz	null Baybay Leyte	Proclamation No. 2152, s.1981	null	0	0	0
Pigbucan to Paron Point	null Manito Albay	Proclamation No. 2152, s.1981	null	0	0	0
Maricaban Island TZMR	null Tingloy Batangas	Proclamation PP# 1801	null	1978	0	0
Canaron Island Tourist Zone and Marine Reserve	null Linapacan Palawan	Proclamation PP# 1801	null	1978	0	0
Lakawon Island Marine Reserve	null Cadiz City Negros Occidental	Municipal Ordinance MO	null	0	0	0
Ivisan Municipal Fish Sanctuary	null Ivisan Capiz	Municipal Ordinance Mun Ord  4-2002	null	2002	0	0
Mangrove areas in Tumalong Bay, Baong River and Pongao Bay*	null Tungawan Zamboanga Sibugay	Proclamation No. 2152, s.1981	null	0	0	0
Bongo Island Fish Sanctuary	null Parang Maguindanao	Municipal Ordinance MO	null	2003	0	0
Mangroves in Bo. Gibgos and Taboan	null Caramoan Camarines Sur	Proclamation No. 2152, s.1981	null	0	0	0
Maibat Fish Sanctuary	null Polillo Quezon	Municipal Ordinance MR# 155 & MO# 06	null	0	0	0
Medio Island TZMR	null Puerto Galera Oriental Mindoro	Proclamation PP# 1801	null	1978	0	0
Cuyo Group of Islands	null Cuyo Palawan	NA	null	0	0	0
Pisan Island Mangrove Swamp Forest Reserve	null null Surigao Del Sur	Proclamation No. 2152, s.1981	null	0	0	0
Calauit Island Game Reserve and Wildlife Sanctuary	null Busuanga Palawan	NA	null	0	0	0
Panggangan Island Mangrove Swamp Forest Reserve /CEP	null Calape Bohol	Proclamation No. 2152, s.1981	null	0	0	0
Balabac Island Tourist Zone and Marine Reserve	null Balabac Palawan	Combination PP# 1801, MO# 01-2005	null	1978	0	0
Hilapnitan Marine Sanctuary	null Baybay Leyte	Municipal Ordinance Mun. Ord.(specific number not obtained)	null	0	0	0
Islet of Batas Mangrove Swamp Forest Reserve	null null Bohol	Proclamation No. 2152, s.1981	null	0	0	0
Iligan Bay	null null Lanao Del Norte	Decree PD 704 & RA 7160	null	1975	0	0
Tuban MPA	null Island Garden City of Samal Davao Del Norte	NA	null	0	0	0
Tanobon Island Marine Turtle Sanctuary	null Busuanga Palawan	Admin Order MNR AO# 8	null	1982	0	0
Magdanay Point up to Taguictic Point	null null Masbate	Proclamation No. 2152, s.1981	null	0	0	0
Bagupantao Point to Amutag Point	null Aroroy Masbate	Proclamation No. 2152, s.1981	null	0	0	0
Foreshoreline of Bo. Cabuyagan to the eastern side of Dating Bayan River in Calancan Bay	null Santa Cruz Marinduque	Proclamation No. 2152, s.1981	null	0	0	0
Looc Reef (Managed Reef)	null Looc Romblon	NA	null	1996	0	0
Oyster and Binunsalian Bay Marine Coral Reef Park	null Puerto Princesa City Palawan	Municipal Ordinance CO# 13	null	1992	0	0
Talisayan-Medina Marine Recreation Area/CEP	null Talisayan Misamis Oriental	NA	null	0	0	0
Foreshoreline of Bo. Dapdap and Alabo up to the mouth of Tagum River	null Santa Cruz Marinduque	Proclamation No. 2152, s.1981	null	0	0	0
Pocanel Island Tourist Zone & Marine Reserve	null Bulalacao Oriental Mindoro	Proclamation PP# 1801	null	1978	0	0
Bo. Labangan to Calalayuan Point, Ilin Island	null Magsaysay Occidental Mindoro	Proclamation No. 2152, s.1981	null	0	0	0
Lapinig Chico Islet Mangrove Swamp Forest Reserve	null Pres. Carlos P. Garcia Bohol	Proclamation No. 2152, s.1981	null	0	0	0
Panagatan Islet Marine Sanctuary	null Caluya Antique	Admin Order MNR AO# 8	null	1982	0	0
Kinablangan Fish Sanctuary	null Baganga Davao Oriental	NA	null	2005	0	0
Honda Bay Marine Park	null Puerto Princesa City Palawan	Proclamation PP# 1801	null	1978	0	0
Sulpa Island Tourist Zone and Marine Reserve	null null Cebu	Proclamation PP# 1801	null	1978	0	0
Poro Island Mangrove Swamp Forest Reserve	null null Cebu	Proclamation No. 2152, s.1981	null	0	0	0
Malay Marine Protected Area (Tambisaan Reef)	null Batan Aklan	Municipal Ordinance Mun Ord  2001-139	null	2001	0	0
Puerto Bello to Lao	null null Leyte	Proclamation No. 2152, s.1981	null	0	0	0
Papucha Point in Sugot up to Bo. Quidolog, Prieto Diaz boundaries divided into 2 quadrants: a) Sta. Lucia to Buenavista; b) Buenavista to Dingay Point* ***	null Prieto Diaz Sorsogon	Proclamation No. 2152, s.1981	null	0	0	0
Bayuar Cove to Tinago Cove	null Aroroy Masbate	Proclamation No. 2152, s.1981	null	0	0	0
Brgy. San Antonio Lukulan Shoal Fish Sanctuary	null null Misamis Occidental	NA	null	0	0	0
San Rafael Mangrove Swamp Forest Reserve	null Burdeos Quezon	Proclamation No. 2152, s.1981	null	0	0	0
Patnanongan Island Mangrove Swamp Forest Reserve	null Patnanungan Quezon	Proclamation No. 2152, s.1981	null	0	0	0
Ambugan Island Mangrove Swamp Forest Reserve	null Inabanga Bohol	Proclamation No. 2152, s.1981	null	0	0	0
Laonan Island	null Del Carmen Surigao Del Norte	Proclamation PP# 2151	null	0	0	0
Polillo Island Mangrove Swamp Forest Reserve	null Polillo Quezon	Proclamation No. 2152, s.1981	null	0	0	0
Guinobatan River up to Bariis	null null Masbate	Proclamation No. 2152, s.1981	null	0	0	0
Pundaguitan Fish Sanctuary	null Governor Generoso Davao Oriental	NA	Davao Gulf Marine Protected Area Network Plan	0	0	0
Caubyan Island and vicinity Tourist Zone and Marine Reserve	null Cordoba Cebu	Proclamation PP# 1801	null	1978	0	0
Tagbaoba Island Widerness Area	null null Surigao Del Norte	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Mabunao & Balubohan Close Season & Mangrove Rehabilitation	Mabunao Rizal Zamboanga Del Norte   / Balubohan Rizal Zamboanga Del Norte	Municipal Ordinance MO# 7	null	0	0	0
Samal Island Mangrove Swamp Forest Reserve; eastern side is TZMR	null null Davao Del Norte	Proclamation PP# 1801 & PP# 2152	null	1978	0	0
Shangrila Marine Sanctuary	null null Cebu	Municipal Ordinance Mun Ord  425-B-2003	null	0	0	0
Timtiman Wilderness Area	null Mabini Bohol	Proclamation PP# 225229	null	0	0	0
Mangrove areas from Malubog Point up to Barangay Sambulawan including the Island of Pisan	null null Zamboanga Del Sur	Proclamation No. 2152, s.1981	null	0	0	0
Central Fish Sanctuary	null Baganga Davao Oriental	NA	null	2000	0	0
Lutuad Point D.Leano Marine Protected Area	null Claveria Cagayan	Municipal Ordinance Ordinance No. 07-2000	null	2000	0	0
Unisan Fish Sanctuary	null Unisan Quezon	Admin Order BFAR AO	null	0	0	0
Sitio Dongon Marine Sanctuary	null Glan Sarangani	NA	null	0	0	0
Maguinoo Fish Sanctuary	null Calbayog City Samar	Municipal Ordinance Mun. Ord. (specific number not obtained)	null	0	0	0
Kabangkalan Marine Sanctuary	null Pres. Carlos P. Garcia Bohol	Municipal Ordinance Mun Ord  C-004-2006	null	1993	0	0
Manuel Roxas Fish Sanctuary	null Governor Generoso Davao Oriental	NA	null	0	0	0
Panuntingan Point in Gubat up to Tagdon River in Barcelona	null Barcelona Sorsogon	Proclamation No. 2152, s.1981	null	0	0	0
Aslom Island Tourist Zone & Marine Reserve	null Bulalacao Oriental Mindoro	Proclamation PP# 1801	null	1978	0	0
Quinabugan Island Mangrove Swamp Forest Reserve	null Caramoan Camarines Sur	Proclamation No. 2152, s.1981	null	0	0	0
Al-Sulnuan Point TZMR	null Cagayan de Oro City Misamis Oriental	Proclamation PP# 1801	null	1978	0	0
Bais Bay and Talabong Is. Coastal Wetlands	null null Negros Oriental	Proclamation PD 704 & 705	null	0	0	0
Icol Island Mangrove Swamp Forest Reserve	null Burdeos Quezon	Proclamation No. 2152, s.1981	null	0	0	0
Mangrove areas from Agio Point up to the municipality of Cambuyao	null null Bohol	Proclamation No. 2152, s.1981	null	0	0	0
From Brgy. Alegre to Cabanban Preservation & Cons. Of Marine Res. (prop)	null null Iloilo	NA	null	0	0	0
Mangrove areas along Taon River	null null Surigao Del Sur	Proclamation No. 2152, s.1981	null	0	0	0
Baong River Mangrove Swamp Forest Reserve	null null Surigao Del Norte	Proclamation No. 2152, s.1981	null	0	0	0
Mangroves along the banks of Looc River	null Tinambac Camarines Sur	Proclamation No. 2152, s.1981	null	0	0	0
Constantino Wilderness Area	null Tubigon Bohol	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Ligpo Island TZMR	null Mabini Batangas	Proclamation PP# 1801	null	1978	0	0
Sombrero Island TZMR	null Tingloy Batangas	Presidential Proclamation # 1801	null	1978	0	0
Suguicay Island Tourist Zone & Marine Reserve	null Bulalacao Oriental Mindoro	Proclamation PP# 1801	null	1978	0	0
Palhi Marine Sanctuary	null Baybay Leyte	Municipal Ordinance Mun. Ord.(specific number not obtained)	null	0	0	0
Mangrove areas in the banks of Batel Creek, Sta. Cruz	null null Occidental Mindoro	Proclamation No. 2152, s.1981	null	0	0	0
Magsaysay, ECAN Protected Marine Zones	null Dumaran Palawan	NA	null	0	0	0
Municipal Bay Management Project	null Rapu-Rapu Albay	Municipal Ordinance BO & MO	null	0	0	0
Hanigad Island Marine Swamp Forest Reserve	null Cagdianao Dinagat Islands	Proclamation No. 2152, s.1981	null	0	0	0
Inabanga Municipal Coral Reef Park	null Inabanga Bohol	Proclamation No. 2152, s.1981	null	0	0	0
Casambalangan Marine Protected Area	null Santa Ana Cagayan	NA	null	0	0	0
Mangrove areas from Del Pilar River to Palita Island, Bo. Salvacion & Dahican	null Capalonga Camarines Norte	Proclamation No. 2152, s.1981	null	0	0	0
Cambinoy Fish & Shellfish Sanctuary	null Palompon Leyte	Municipal Ordinance Mun. Ord. No. 4 Series 2006	null	2003	0	0
Dawahon Island Fish Sanctuary	null Tabango Leyte	Municipal Ordinance Mun. Ord. No. 2007-01, Brgy. Res. No. 99-013	null	1999	0	0
Ligid Island Tourist Zone and Marine Reserve	null Island Garden City of Samal Davao Del Norte	Proclamation PP# 1801	null	1978	0	0
Pangasihan Fish Sanctuary	null Gingoog City Misamis Oriental	NA	null	2003	0	0
Gordon Island Mangrove Swamp Forest Reserve	null null Surigao Del Sur	Proclamation No. 2152, s.1981	null	0	0	0
Jandayan Island Mangrove Swamp Forest Reserve	null Jetafe Bohol	Proclamation No. 2152, s.1981	null	0	0	0
Tibanban Fish Sanctuary	null Governor Generoso Davao Oriental	NA	null	0	0	0
Rasa Island Wilderness Area	null Surigao City Surigao Del Norte	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Mangrove areas from the mun. of Tagalisay to the mouth of Tigbao River including east of Vitali Is.	null Tungawan Zamboanga Sibugay	Proclamation No. 2152, s.1981	null	0	0	0
Pan de Azucar Seascape	null Concepcion Iloilo	NA	null	0	0	0
Gabas Marine Sanctuary	null Baybay Leyte	Municipal Ordinance Mun. Ord. (no specific available)	null	0	0	0
Dinagat Island Mangrove Swamp Forest Reserve	null null Surigao Del Norte	Proclamation No. 2152, s.1981	null	0	0	0
San Antonio Marine Reserve Area	null Ormoc City Leyte	Municipal Ordinance Mun. Ord.(specific number not obtained)	null	2004	0	0
Bansalan Wilderness Area	null Talibon Bohol	Proclamation PP# 225229 & SBR.	null	0	0	0
Poblacion Dumaran	null Dumaran Palawan	NA	null	0	0	0
Pulong Pilion Fish Sanctuary	null Polillo Quezon	Municipal Ordinance MR# 127 & MO# 5	null	0	0	0
Ponson Island Mangrove Swamp Forest Reserve	null Pilar Cebu	Proclamation No. 2152, s.1981	null	0	0	0
Panonobulon Island Fish Sanctuary	null Basey Samar	Municipal Ordinance Mun. Ord. (specific number not obtained)	null	0	0	0
Gaban Island Tourist Zone & Marine Reserve	null Tingloy Batangas	Proclamation PP# 1801	null	1978	0	0
Bilabid Island Mangrove Swamp Forest Reserve	null Tagana-An Surigao Del Norte	Proclamation No. 2152, s.1981	null	0	0	0
Kabugao Point up to Kabalong Andang Point (Burias Is.)	null Claveria Masbate	Proclamation No. 2152, s.1981	null	0	0	0
Pulong Epil Fish Sanctuary	null Polillo Quezon	Municipal Ordinance MR# 8 & MO# 2	null	0	0	0
Boracay Island TZMR	null Malay Aklan	Proclamation PP# 1801	null	1978	0	0
Mangrove areas east of Soom River to Pampang	null Trinidad Bohol	Proclamation No. 2152, s.1981	null	0	0	0
Tinggo	null Lapu-Lapu City Cebu	NA	null	0	0	0
Butlias Reef/Tinaytay Reef Marine Protected Area	null null Davao Oriental	NA	null	0	0	0
Brgy. Talib Marine Reserve & Protected Area	null Zumarraga Samar	Municipal Ordinance MO	null	1999	0	0
Balatero Cove TZMR	null Puerto Galera Oriental Mindoro	Proclamation PD-354 & PP# 1801	null	1978	0	0
Bancuyo Island Widerness Area	null Dapa Surigao Del Norte	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Bawing Fish Sanctuary and Marine Reserve	null General Santos City South Cotabato	Resolution MR# 11	null	1998	0	0
Sibuyan Island Mangrove Swamp Forest Reserve	null null Romblon	Proclamation No. 2152, s.1981	null	0	0	0
Culasian	null Dumaran Palawan	NA	null	0	0	0
Sibalat Island Tourist Zone & Marine Reserve	null Bulalacao Oriental Mindoro	Proclamation PP# 1801	null	1978	0	0
San Agustin Marine Sanctuary	null Baybay Leyte	NA	null	0	0	0
Talicud Island Tourist Zone and Marine Reserve	null Island Garden City of Samal Davao Del Norte	Proclamation PP# 1801	null	1978	0	0
Bacuit Bay Island TZMR	null El Nido (Bacuit) Palawan	Proclamation PP# 1801	null	1978	0	0
Sangali Cove Tourist Zone and Marine Reserve	null null Zamboanga Del Sur	Proclamation PP# 1801	null	1978	0	0
Ulugan Bay Coastal Wetlands	null Puerto Princesa City Palawan	NA	null	1999	0	0
Puerto Galera TZMR, Biosphere Reserve	null Puerto Galera Oriental Mindoro	Proclamation PD-354, PP# 1801, UNESCO	null	1973	0	0
Bo. Bagumbang to Malautan River	null null Misamis Occidental	Proclamation No. 2152, s.1981	null	0	0	0
From Putiao River to Mantay Point Mangrove Swamp Forest Reserve	null null Sorsogon	Proclamation No. 2152, s.1981	null	0	0	0
Alabat Island Mangrove Swamp Forest Reserve	null Alabat Quezon	Proclamation No. 2152, s.1981	null	0	0	0
Caohagan Marine Sanctuary	null Lapu-Lapu City Cebu	Municipal Ordinance Mun Ord  413-2006	null	2002	0	0
Mangrove areas along the coastlines of Dupon Bay from Sacay Point up to the mouth of Dupon Bay	null Isabel Leyte	Proclamation No. 2152, s.1981	null	0	0	0
Sicogon Is. Mun. Marine Park	null Panay Capiz	NA	null	0	0	0
Gibongan Estuary	null Belison Antique	Municipal Ordinance Unknown	null	1992	0	0
Siquijor Island Tourist Zone and Marine Reserve	null null Siquijor	Proclamation PP# 1801	null	1978	0	0
Malanipa Island Tourist Zone and Marine Reserve	null null Zamboanga Del Sur	Proclamation PP# 1801	null	1978	0	0
Tona Island Wilderness Area	null Del Carmen Surigao Del Norte	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Maybog Marine Sanctuary	null Baybay Leyte	NA	null	0	0	0
Brgy. Tanao	null Batad Iloilo	NA	null	0	0	0
Sinagatan Bay to to Mantay Point in Ginablan	null null Sorsogon	Proclamation No. 2152, s.1981	null	0	0	0
Coron Island Tourist Zone and Marine Reserve	null Coron Palawan	Proclamation PP# 1801	null	1978	0	0
San Andres Marine Reserve	null San Andres Catanduanes	Municipal Ordinance MO# 3	null	0	0	0
Mangroves between Bo. Tamosa and Bagasico	null null Masbate	Proclamation No. 2152, s.1981	null	0	0	0
Mangrove areas along the banks of Mamburao River	null Mamburao Occidental Mindoro	Proclamation No. 2152, s.1981	null	0	0	0
Lebak-Kalamansig (Moro Gulf)/CEP	null null Sultan Kudarat	NA	null	0	0	0
Tintauan Island Mangrove Swamp Forest Reserve	null null Zamboanga Del Sur	Proclamation No. 2152, s.1981	null	0	0	0
Canawayon Cove, Homonho	null Guiuan Eastern Samar	NA	null	0	0	0
Carcar Fishery Reserve	null Carcar Cebu	NA	null	0	0	0
Opao Island Tourist Zone & Marine Reserve	null Bulalacao Oriental Mindoro	Proclamation PP# 1801	null	1978	0	0
Boston Reef Fish Sanctuary	null Boston Davao Oriental	NA	null	2005	0	0
Northern Bank of Caima River up to Bo. Binahian	null Lupi Camarines Sur	Proclamation No. 2152, s.1981	null	0	0	0
Buyayao Island TZMR	null Bulalacao Oriental Mindoro	Proclamation PP# 1801	Oriental Mindoro Marine Protected Area And Fishery Law Enforcement Network (Ommpafle Network)	1978	0	0
Palay Point up to Mulanay River, Bondoc Peninsula	null Mulanay Quezon	Proclamation No. 2152, s.1981	null	0	0	0
Calangaman Wilderness Area	null Candijay Bohol	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Mangroves along the banks of Delchi River, Buang Creek and Parusan River in Inuran and Sapitan Bay	null null Camarines Sur	Proclamation No. 2152, s.1981	null	0	0	0
Artificial Reef Development	null Esperanza Masbate	NA	null	0	0	0
Manay Fish Sanctuary	null Manay Davao Oriental	NA	null	2000	0	0
Baring Marine Sanctuary	null Lapu-Lapu City Cebu	Municipal Ordinance Mun Ord  223-A-2005	null	0	0	0
Bondoc River in Aurora up to Pinamutangan Point, Bondoc Peninsula (Tayabas Bay, Quezon)	null San Francisco Quezon	Proclamation No. 2152, s.1981	null	0	0	0
Entire Province of Palawan	null null Palawan	Proclamation No. 2152, s.1981	null	1992	0	0
Tumalong Bay Mangrove Swamp Forest Reserve	null null Surigao Del Sur	Proclamation No. 2152, s.1981	null	0	0	0
Panicijan River in Butan Bay	null null Masbate	Proclamation No. 2152, s.1981	null	0	0	0
San Joaquin Seascape	null San Joaquin Iloilo	NA	null	0	0	0
Salomague Island Mangrove Swamp Forest Reserve***	null Torrijos Marinduque	Proclamation No. 2152, s.1981	null	0	0	0
Awasan Island Wilderness Area	null null Surigao Del Norte	Proclamation PP# 2151 & PP# 225229	null	0	0	0
Mangrove areas from the west of Loboc River to the Mun. of Loay	null Loay Bohol	Proclamation No. 2152, s.1981	null	0	0	0
Pulong Bigyan Fish Sanctuary	null Polillo Quezon	Municipal Ordinance MR# 164 & MO# 10	null	0	0	0
Burias Island Mangrove Swamp Forest Reserve	null Claveria Masbate	Proclamation No. 2152, s.1981	null	0	0	0
Aguirangan Island	null Lagonoy Camarines Sur	NA	null	0	0	0
Carogo Island Mangrove Swamp Forest Reserve	null Mandaon Masbate	Proclamation No. 2152, s.1981	null	0	0	0
Iba and Poblacion Marine Sanctuary	null null Antique	Resolution Unknown	null	2001	0	0
Tictauan Island Mangrove Swamp Forest Reserve	null null Zamboanga Del Sur	Proclamation No. 2152, s.1981	null	0	0	0
Cabilao Island Mangrove Swamp Forest Reserve & TZMR	null Loon Bohol	Proclamation PP# 1801 & PP# 2152	null	1978	0	0
Batan Island Mangrove Swamp Forest Reserve/Fish Sanctuary	null Rapu-Rapu Albay	Proclamation No. 2152, s.1981	null	0	0	0
Nueva Esperanza Fish Sanctuary	Puerto San Pedro Bien Unido Bohol	Municipal Ordinance MO# 02-s-2002	null	2002	0	0
Quinalasag Island Mangrove Swamp Forest Reserve/CEP	null Garchitorena Camarines Sur	Proclamation No. 2152, s.1981	null	0	0	0
Apid Digyo and Mahaba Sanctuary, Cuatro Islas Protected Landscape and Seascape	null null Leyte	Proclamation PP# 270	null	2000	0	0
