ALL	*SampleSet*																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
1793	1983																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
																																																																																					1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																2																																																																																																																																																																																																																																																						
																																																		2																																																																																																																																																																																																																																																																																																																									3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
																																																																																																																																																																							1																																1																																																																																									18							2								1																													6						1																																																																																4																																																																																																																																																																																																																																																																																																								1																																																						1																																																																																																																																						1																																																																																																										1			4																																										9																																																														5																																			1																																																																																																																																																																																																																																																																																																																																																										1																																						1																																																						1																										1																																																																																							1																																																																																																																																																															7																				2																						5														1																																																																			
																																																																																																																																																													2																													2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										1																																																																																																																																																																																															1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	8																																3																																																																																																															1																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									1																																																																																																																																																																																																																																																																																																																																																																																																																																																								2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
																																						1																																																																																																																																																																																																																																																																																																																																																																																																																																												1																																				3																																																																																																																																									3				3																																																																																																																																																																										3				6																																																																																																																1																																														6																																																																				1																																															1																																																																																														1							1																																																															1																																								4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								2	1										5																																																			1						1																																																																																												2																									
																																																																																																																																																																																																																																																																																																																																																																																																							1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
