ALL	*SampleSet*																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
1793	1983																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
																																																																																																																																																																																							2											1																												4																																															1																			4																																																																																																																																																																																																																																																																																																					2																																																																																																																													1																																																																																																																																																																																																																																																																																												4																																																																																																				3																									6																		1																																											2																																																																																																																																																																																																																																																																																																																																																2																														4																																																																																																																																																		1																																								1																								4																																																									4																																																																					1																																																																																																									
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					1																																																																																																																																																																																																																																																																																																																																								1																	1																																																																						1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															4																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
																																																															1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						2																																																																																																																																																																																																																																																																																																																																																																																																																																																																														1														1																																																																																																																																																																																																																																																																																																																																																																																																																																										3																																																																																																																																																																																																																																																																																																																												1																																																																			3														1																																																																																																							
																																																																																																																																																																																																																																																																																																																																										1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
									2																																																																																																																						4																																																																					2																																							3																				1								1					1																		4																																4																															3																																																								5																						7																																																																																																																																						5																																											2																																3							21																					8																																																																																																							4																																																												2																						9																																																																																			2																									1																																																						18																																6																																																	1																							3																																									1											1																								2																																																			5																													3																																																																																																				2																																																		6																			1																																																																																														4																																																	4																																																																									5																			3																																																																												3							1																									1											1																																																																																						2													1																																																																																							3			
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													2																																																																																																																																																																																																																																																																																																																																																																																																							3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															1																																																																																																																																																																															1																																				5																																																																																																																																																																								1																																																																	
																																																																																			1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
																																												2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																																																																																1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
																																																																																		1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						8																																																																																																																																																																																																																																																																									
