ALL	*Individuals*
2150	1
6	
14	
5	
9	
2	
10	
10	
18	
147	
6	
1	
3	
4	
21	
1	
5	
3	
1	
4	
7	
1	
2	
1	
6	
3	
1	
1	
49	
1	
4	
9	
6	
97	
2	
9	
1	
139	
2	
1	
69	
3	
6	
12	
12	
2	
13	
4	
11	
1	
5	
1	
10	
2	
2	
52	
120	
67	
53	
85	
114	
9	
6	
2	
1	
1	
1	
1	
2	
1	
51	
9	
1	
1	
23	
1	
1	
23	
8	
11	
22	
80	
62	
1	
11	
4	
38	
4	
11	
54	
1	
3	
1	
2	
3	
1	
1	
36	
27	
10	
18	
16	
5	
7	
6	
5	
10	
10	
1	
3	
1	
38	
47	
3	
207	
154	
26	
11	
3	
1	
34	
4	
1	
4	
1	
5	
1	
1	
8	
2	
3	
91	
13	
561	
2	
15	
3	
58	
117	
2	
1	
17	
87	
34	
1	
5	
17	
10	
1	
2	
18	
12	
1	
27	
5	
14	
2	
15	
5	
67	
86	
40	
2	
24	
2	
3	
48	
1	
46	
322	
45	
3	
5	
1	
1	
4	
1	
1	
24	
1	
54	
3	
22	
8	
3	
1	
2	
5	
2	
3	
14	
4	
3	
11	
0	
5	
1	
8	
6	
44	
63	
1	
16	
6	
11	
2	
162	
10	
3	
4	
29	
54	
1	
5	
5	
4	
1	
22	
1	
2	
17	
45	
2	
79	
1	
1	
4	
19	
13	
51	
39	
62	
6	
7	
8	
14	
2	
2	
1	
16	
2	
9	
29	
20	
14	
4	
118	
9	
2	
1	
7	
1	
9	
1	
20	
5	
62	
1	
3	
2	
4	
10	
57	
1	
4	
1	
1	
1	
1	
1	
2	
2	
21	
12	
17	
2	
3	
3	
2	
10	
35	
8	
48	
16	
3	
4	
1	
49	
2	
8	
11	
1	
1	
1	
9	
1	
1	
1	
1	
31	
2	
2	
1	
4	
1	
2	
81	
8	
5	
35	
71	
22	
40	
1	
5	
3	
45	
4	
49	
2	
2	
2	
15	
1	
9	
3	
81	
51	
1	
10	
14	
26	
1	
220	
2	
1	
80	
1	
2	
1	
4	
5	
8	
2	
1	
5	
3	
3	
11	
2	
1	
2	
2	
3	
9	
2	
2	
1	
1	
1	
1	
29	
5	
9	
15	
26	
14	
8	
1	
3	
4	
22	
28	
2	
93	
1	
42	
4	
1	
109	
16	
2	
1	
42	
118	
9	
1	
4	
2	
11	
31	
2	
8	
1	
3	
1	
3	
14	
27	
2	
16	
29	
3	
1	
93	
2	
3	
30	
13	
1	
1	
1	
8	
4	
15	
8	
1	
1	
2	
24	
5	
3	
54	
5	
6	
3	
3	
32	
4	
3	
5	
33	
7	
53	
2	
70	
1	
1	
108	
1	
68	
2	
3	
59	
221	
3	
16	
1	
1	
2	
2	
1	
1	
3	
1	
2	
1	
1	
6	
1	
3	
2	
11	
1	
2	
5	
2	
2	
2	
1	
2	
1	
1	
2	
2	
12	
1	
4	
2	
2	
1	
1	
8	
2	
13	
103	
56	
541	
126	
4	
652	
156	
201	
2	
9	
8	
195	
9	
927	
1	
951	
13	
497	
65	
2	
9	
43	
3	
33	
44	
6	
77	
1	
2	
19	
75	
207	
34	
64	
13	
33	
110	
102	
75	
55	
3	
3	
44	
36	
2	
39	
34	
60	
32	
47	
1	
118	
328	
8	
279	
8	
188	
22	
11	
17	
2	
3	
3	
1	
4	
69	
3	
53	
21	
7	
2	
1	
17	
5	
15	
20	
2	
37	
6	
1	
1	
38	
15	
1	
1	
2	
9	
1	
32	
3	
2	
3	
14	
50	
1	
1	
1	
1	
3	
10	
2	
4	
35	
79	
238	
7	
6	
2	
15	
1	
1	
1	
6	
1	
3	
2	
7	
1	
2	
5	
58	
2	
2	
1	
4	
71	
1	
11	
29	
3	
296	
123	
1	
8	
26	
2	
11	
6	
3	
19	
34	
2	
58	
1	
6	
14	
2	
2	
15	
8	
3	
15	
9	
5	
4	
47	
8	
1	
18	
5	
4	
9	
23	
5	
1	
6	
15	
10	
51	
6	
2	
15	
11	
11	
1	
8	
2	
1	
3	
6	
25	
1	
1	
2	
6	
3	
81	
82	
1	
1	
6	
75	
9	
32	
23	
4	
5	
2	
130	
6	
11	
39	
4	
25	
31	
5	
3	
1230	
11	
1	
13	
2	
2	
6	
10	
17	
1	
11	
2	
7	
2	
1	
72	
1	
92	
29	
13	
5	
1	
73	
353	
44	
49	
54	
18	
133	
50	
16	
5	
415	
184	
3	
1	
47	
85	
348	
97	
1	
38	
11	
1	
4	
12	
1	
9	
2	
21	
1	
1	
2	
20	
2	
2	
1	
1	
14	
170	
1	
1	
13	
1	
5	
1	
2	
13	
3	
12	
21	
2	
1	
1	
1	
2	
2	
1	
1	
2	
2	
2	
0	
2	
2	
1	
11	
1	
11	
1	
1	
1	
1	
1	
10	
1	
41	
11	
6	
4	
1	
7	
7	
13	
5	
40	
10	
5	
32	
8	
298	
30	
2	
4	
41	
1	
8	
3	
5	
4	
14	
1	
8	
38	
2	
186	
126	
13	
21	
1	
3	
368	
57	
3	
5	
4	
57	
4	
116	
12	
39	
6	
2	
99	
39	
9	
11	
1	
3	
14	
379	
12	
1	
8	
1	
17	
2	
1	
5	
1	
1	
8	
11	
1	
105	
1	
17	
38	
121	
1	
1	
2	
5	
18	
1	
2	
4	
10	
19	
19	
188	
30	
54	
1	
5	
1	
14	
2	
1	
14	
6	
9	
1998	
6	
13	
1	
7	
1	
1	
1	
5	
7	
147	
5	
4	
1	
3	
16	
3	
13	
2	
4	
1	
2	
2	
1	
1	
61	
23	
148	
27	
6	
44	
38	
39	
5	
3	
7	
2	
2	
62	
16	
27	
10	
1	
2	
1	
3	
3	
6	
1	
3	
35	
4	
18	
30	
1	
4	
43	
1	
1	
1	
1	
1	
2	
5	
24	
1	
41	
24	
2	
23	
2	
39	
11	
136	
40	
8	
84	
1	
37	
46	
12	
1	
8	
9	
17	
1	
101	
1	
2	
221	
3	
4	
8	
336	
14	
1	
6	
334	
115	
652	
5	
99	
13	
37	
40	
20	
58	
10	
8	
7	
5	
8	
9	
2	
2	
1	
9	
4	
3	
1	
17	
42	
5	
1	
26	
15	
23	
3	
11	
1	
3	
4	
20	
2	
2	
4	
1	
4	
1	
1	
1	
5	
1	
3	
3	
1	
3	
1	
34	
32	
2	
13	
1	
1	
22	
1	
5	
12	
2	
1	
2	
1	
2	
2	
1	
1	
45	
128	
119	
82	
1	
220	
8	
1	
57	
8	
1	
4	
8	
23	
7	
5	
12	
9	
1	
2	
4	
9	
30	
1	
8	
2	
76	
5	
20	
4	
3	
1	
380	
40	
134	
1	
1	
4	
3	
1	
2	
1	
2	
8	
13	
5	
2	
1	
1	
26	
1	
2	
1	
2	
2	
1	
6	
2	
2	
22	
17	
2	
2	
2	
1	
2	
1	
13	
1	
12	
1	
115	
20	
4	
8	
9	
23	
16	
13	
3	
8	
17	
8	
21	
1	
11	
9	
6	
3	
2	
1	
45	
6	
1	
1	
11	
4	
1	
3	
23	
4	
3	
1	
11	
3	
3	
12	
5	
26	
3	
3	
3	
5	
3	
5	
12	
11	
196	
8	
5	
12	
22	
1	
1	
14	
5	
2	
3	
3	
2	
3	
3	
4	
1	
11	
3	
2	
82	
15	
5	
1	
2	
2	
1	
8	
5	
2	
107	
46	
10	
20	
78	
3	
1	
1	
2	
5	
33	
1	
1	
3	
28	
2	
9	
1	
5	
1	
2	
17	
10	
1	
1	
57	
17	
5	
10	
6	
1	
125	
2	
4	
23	
93	
2	
20	
2	
5	
2	
1	
9	
2	
10	
8	
2	
1	
1	
6	
4	
5	
4	
6	
12	
16	
66	
82	
47	
1	
86	
59	
5	
62	
4	
1	
1	
6	
2	
2	
2	
7	
2	
2	
11	
1	
37	
6	
2	
5	
41	
66	
15	
134	
17	
695	
2	
5	
1	
1	
3	
7	
5	
4	
1	
2	
6	
2	
40	
8	
2	
6	
4	
1	
1	
3	
6	
1	
32	
146	
1	
5	
3	
2	
2	
15	
1	
24	
11	
2	
1	
3	
6	
49	
4	
448	
4	
48	
